0 0 200_ 11111 
41923 23.76 90.38 10000 20010530_6
41923 23.76 90.38 10010 20010530_15
41923 23.76 90.38 10010 20010530_21
41923 23.76 90.38 10010 20010530_9
41923 23.76 90.38 11000 20010530_0
41923 23.76 90.38 11000 20010530_12
41923 23.76 90.38 11000 20010531_0
41929 23.6 89.84 10000 20010530_18
41929 23.6 89.84 10000 20010530_6
41929 23.6 89.84 10010 20010530_15
41929 23.6 89.84 10010 20010530_21
41929 23.6 89.84 10010 20010530_3
41929 23.6 89.84 10010 20010530_9
41929 23.6 89.84 11000 20010530_0
41929 23.6 89.84 11000 20010530_12
41929 23.6 89.84 11000 20010531_0
41933 23.43 91.18 10000 20010530_12
41933 23.43 91.18 10000 20010530_18
41933 23.43 91.18 10000 20010530_6
41933 23.43 91.18 10010 20010530_15
41933 23.43 91.18 10010 20010530_21
41933 23.43 91.18 10010 20010530_3
41933 23.43 91.18 10010 20010530_9
41933 23.43 91.18 11000 20010530_0
41933 23.43 91.18 11000 20010531_0
41936 23.18 89.16 10000 20010530_18
41936 23.18 89.16 10000 20010530_6
41936 23.18 89.16 10010 20010530_15
41936 23.18 89.16 10010 20010530_21
41936 23.18 89.16 10010 20010530_3
41936 23.18 89.16 10010 20010530_9
41936 23.18 89.16 11000 20010530_0
41936 23.18 89.16 11000 20010530_12
41936 23.18 89.16 11000 20010531_0
41939 23.16 90.18 10000 20010530_12
41939 23.16 90.18 10000 20010530_18
41939 23.16 90.18 10000 20010530_6
41939 23.16 90.18 10010 20010530_15
41939 23.16 90.18 10010 20010530_3
41939 23.16 90.18 10010 20010530_9
41939 23.16 90.18 11000 20010530_0
41939 23.16 90.18 11000 20010531_0
41941 23.26 90.69 0 20010530_18
41941 23.26 90.69 10000 20010530_12
41941 23.26 90.69 10000 20010530_6
41941 23.26 90.69 10010 20010530_15
41941 23.26 90.69 10010 20010530_3
41941 23.26 90.69 10010 20010530_9
41941 23.26 90.69 11000 20010530_0
41941 23.26 90.69 11000 20010531_0
41943 23.03 91.41 10000 20010530_0
41943 23.03 91.41 10000 20010530_12
41943 23.03 91.41 10000 20010530_18
41943 23.03 91.41 10000 20010530_6
41943 23.03 91.41 10010 20010530_15
41943 23.03 91.41 10010 20010530_21
41943 23.03 91.41 10010 20010530_3
41943 23.03 91.41 10010 20010530_9
41943 23.03 91.41 11000 20010531_0
41946 22.71 89.08 1000 20010531_0
41946 22.71 89.08 10000 20010530_18
41946 22.71 89.08 10010 20010530_21
41946 22.71 89.08 10010 20010530_3
41946 22.71 89.08 10010 20010530_9
41946 22.71 89.08 11000 20010530_0
41946 22.71 89.08 11000 20010530_12
41947 22.78 89.53 0 20010530_15
41947 22.78 89.53 10000 20010530_18
41947 22.78 89.53 10000 20010530_6
41947 22.78 89.53 10010 20010530_21
41947 22.78 89.53 10010 20010530_3
41947 22.78 89.53 10010 20010530_9
41947 22.78 89.53 11000 20010530_0
41947 22.78 89.53 11000 20010530_12
41947 22.78 89.53 11000 20010531_0
41950 22.75 90.36 0 20010530_9
41950 22.75 90.36 10000 20010530_18
41950 22.75 90.36 10000 20010530_6
41950 22.75 90.36 10010 20010530_15
41950 22.75 90.36 10010 20010530_21
41950 22.75 90.36 10010 20010530_3
41950 22.75 90.36 11000 20010530_0
41950 22.75 90.36 11000 20010530_12
41950 22.75 90.36 11000 20010531_0
41953 22.86 91.09 10000 20010530_6
41953 22.86 91.09 10010 20010530_15
41953 22.86 91.09 10010 20010530_3
41953 22.86 91.09 10010 20010530_9
41953 22.86 91.09 11000 20010530_12
41953 22.86 91.09 11000 20010531_0
41960 22.33 90.33 10000 20010530_18
41960 22.33 90.33 10000 20010530_6
41960 22.33 90.33 10010 20010530_15
41960 22.33 90.33 10010 20010530_21
41960 22.33 90.33 10010 20010530_3
41960 22.33 90.33 10010 20010530_9
41960 22.33 90.33 11000 20010530_0
41960 22.33 90.33 11000 20010530_12
41960 22.33 90.33 11000 20010531_0
41963 22.43 91.09 10010 20010530_15
41963 22.43 91.09 11000 20010530_0
41964 22.48 91.43 10000 20010530_12
41964 22.48 91.43 10001 20010530_6
41964 22.48 91.43 10010 20010530_3
41964 22.48 91.43 10010 20010530_9
41964 22.48 91.43 11000 20010530_0
41964 22.48 91.43 11000 20010531_0
41965 22.58 91.69 10000 20010530_12
41965 22.58 91.69 10000 20010530_6
41965 22.58 91.69 10010 20010530_15
41965 22.58 91.69 10010 20010530_21
41965 22.58 91.69 10010 20010530_3
41965 22.58 91.69 10010 20010530_9
